"state","total","non_indigenous","indigenous","non_declared","year"
"Rondônia",1133265,1120604,4133,8527,"1991"
"Acre",417098,412352,4745,0,"1991"
"Amazonas",2102775,2021932,67881,12962,"1991"
"Roraima",217582,190013,23425,4144,"1991"
"Pará",4949206,4911025,16131,22049,"1991"
"Amapá",289039,285794,3244,0,"1991"
"Tocantins",918394,911358,5053,1982,"1991"
"Maranhão",4929680,4898639,15672,15369,"1991"
"Piauí",2582072,2578456,315,3300,"1991"
"Ceará",6366114,6349802,2692,13618,"1991"
"Rio Grande do Norte",2415076,2410753,393,3929,"1991"
"Paraíba",3201328,3188607,3782,8939,"1991"
"Pernambuco",7127946,7107601,10576,9768,"1991"
"Alagoas",2512665,2503177,5690,3797,"1991"
"Sergipe",1491875,1488492,704,2679,"1991"
"Bahia",11867338,11798843,16025,52469,"1991"
"Minas Gerais",15743533,15703570,6114,33848,"1991"
"Espírito Santo",2600617,2595842,2351,2423,"1991"
"Rio de Janeiro",12807194,12715459,8954,82780,"1991"
"São Paulo",31588824,31366051,13168,209604,"1991"
"Paraná",8448623,8432245,10976,5402,"1991"
"Santa Catarina",4542031,4531020,4883,6127,"1991"
"Rio Grande do Sul",9138459,9107683,14474,16301,"1991"
"Mato Grosso do Sul",1780372,1743731,32758,3882,"1991"
"Mato Grosso",2026070,2009443,16548,78,"1991"
"Goiás",4017506,4009620,2085,5799,"1991"
"Distrito Federal",1601093,1594656,1347,5090,"1991"
"Rondônia",1380951,1353422,10682,16846,"2000"
"Acre",557882,544934,8008,4939,"2000"
"Amazonas",2817252,2663038,113391,40821,"2000"
"Roraima",324396,294228,28127,2041,"2000"
"Pará",6195964,6084903,37680,73380,"2000"
"Amapá",477031,466706,4971,5353,"2000"
"Tocantins",1157690,1139544,10580,7564,"2000"
"Maranhão",5657552,5586721,27570,43259,"2000"
"Piauí",2843427,2814992,2663,25771,"2000"
"Ceará",7431597,7360570,12197,58828,"2000"
"Rio Grande do Norte",2777508,2755179,3167,19161,"2000"
"Paraíba",3444793,3407436,10088,27269,"2000"
"Pernambuco",7929154,7833841,34669,60643,"2000"
"Alagoas",2827855,2792006,9074,26774,"2000"
"Sergipe",1784828,1762637,6716,15474,"2000"
"Bahia",13085768,12895802,64240,125725,"2000"
"Minas Gerais",17905133,17757551,48719,98862,"2000"
"Espírito Santo",3097497,3069589,12746,15161,"2000"
"Rio de Janeiro",14392105,14245275,35933,110896,"2000"
"São Paulo",37035455,36726091,63788,245575,"2000"
"Paraná",9564643,9493775,31487,39380,"2000"
"Santa Catarina",5357863,5311396,14541,31925,"2000"
"Rio Grande do Sul",10187841,10116891,38717,32232,"2000"
"Mato Grosso do Sul",2078070,2012008,53899,12161,"2000"
"Mato Grosso",2505244,2456853,29195,19195,"2000"
"Goiás",5004196,4953687,14110,36398,"2000"
"Distrito Federal",2051145,2032962,7153,11029,"2000"
"Rondônia",1562409,1550240,12015,154,"2010"
"Acre",733559,717626,15921,12,"2010"
"Amazonas",3483985,3315299,168680,6,"2010"
"Roraima",450479,400842,49637,0,"2010"
"Pará",7581051,7541637,39081,333,"2010"
"Amapá",669526,662116,7408,2,"2010"
"Tocantins",1383445,1370312,13131,2,"2010"
"Maranhão",6574789,6539467,35272,50,"2010"
"Piauí",3118360,3115414,2944,2,"2010"
"Ceará",8452381,8432986,19336,59,"2010"
"Rio Grande do Norte",3168027,3165123,2597,307,"2010"
"Paraíba",3766528,3747327,19149,52,"2010"
"Pernambuco",8796448,8743106,53284,58,"2010"
"Alagoas",3120494,3105982,14509,3,"2010"
"Sergipe",2068017,2062755,5219,43,"2010"
"Bahia",14016906,13959836,56381,689,"2010"
"Minas Gerais",19597330,19565952,31112,266,"2010"
"Espírito Santo",3514952,3505764,9160,28,"2010"
"Rio de Janeiro",15989929,15972661,15894,1374,"2010"
"São Paulo",41262199,41217906,41794,2499,"2010"
"Paraná",10444526,10418535,25915,76,"2010"
"Santa Catarina",6248436,6232300,16041,95,"2010"
"Rio Grande do Sul",10693929,10660855,32989,85,"2010"
"Mato Grosso do Sul",2449024,2375716,73295,13,"2010"
"Mato Grosso",3035122,2992389,42538,195,"2010"
"Goiás",6003788,5995188,8533,67,"2010"
"Distrito Federal",2570160,2563894,6128,138,"2010"
